epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7138,0.6011,1.37246,1.04382,0.35891,0.76737,0.40276,0.35442,0.47417,17.6895,1.00902,0.000413996,0.000413996,0.000413996
2,165.513,0.61452,0.85479,1.06347,0.6761,0.61178,0.71511,0.62138,0.58147,2.01568,1.09791,0.000822439,0.000822439,0.000822439
3,242.244,0.62367,0.79637,1.0662,0.76655,0.6322,0.7662,0.56076,0.67559,1.95651,1.12499,0.00122263,0.00122263,0.00122263
4,318.753,0.58747,0.69625,1.04825,0.73472,0.60158,0.67047,0.60992,0.35383,1.7052,0.91352,0.00121287,0.00121287,0.00121287
5,394.47,0.53806,0.6625,1.02384,0.81092,0.79436,0.86864,0.79358,0.39585,0.88368,0.94336,0.0012005,0.0012005,0.0012005
6,468.321,0.53038,0.66155,1.01221,0.76332,0.80748,0.87535,0.80738,0.38722,0.68697,0.91505,0.00118812,0.00118812,0.00118812
7,542.019,0.54214,0.57175,1.02534,0.77924,0.87844,0.89681,0.82351,0.36388,0.50111,0.9151,0.00117575,0.00117575,0.00117575
8,615.797,0.48107,0.53391,0.99907,0.97595,0.82736,0.921,0.85318,0.34425,0.6405,0.91825,0.00116337,0.00116337,0.00116337
9,689.496,0.4864,0.53541,0.99831,0.89516,0.86213,0.94563,0.89713,0.2778,0.62603,0.85749,0.001151,0.001151,0.001151
10,763.098,0.45624,0.52164,0.98521,0.90151,0.79417,0.87488,0.83178,0.278,0.5113,0.86071,0.00113863,0.00113863,0.00113863
11,836.602,0.44093,0.50078,0.97759,0.90872,0.66828,0.75301,0.67443,0.42259,1.28911,0.97515,0.00112625,0.00112625,0.00112625
12,913.521,0.4433,0.49289,0.97071,0.95214,0.85627,0.9148,0.87443,0.32289,0.49425,0.88975,0.00111388,0.00111388,0.00111388
13,989.066,0.42481,0.46325,0.97526,0.90583,0.80569,0.9065,0.87589,0.26331,0.67793,0.84875,0.0011015,0.0011015,0.0011015
14,1064.48,0.39888,0.41517,0.95402,0.98485,0.84432,0.91786,0.88192,0.30211,0.42734,0.90473,0.00108913,0.00108913,0.00108913
15,1140.27,0.41205,0.40877,0.95495,0.89263,0.88346,0.95273,0.91427,0.20523,0.38288,0.82389,0.00107675,0.00107675,0.00107675
16,1215.94,0.39616,0.42493,0.95377,0.88201,0.87159,0.95243,0.91791,0.22671,0.37459,0.84515,0.00106437,0.00106437,0.00106437
17,1291.67,0.37266,0.40931,0.93712,0.95989,0.89356,0.94172,0.89128,0.26894,0.32995,0.85676,0.001052,0.001052,0.001052
18,1367.08,0.39535,0.40608,0.95248,0.97784,0.8811,0.94443,0.90774,0.24573,0.31637,0.85999,0.00103962,0.00103962,0.00103962
19,1442.63,0.39802,0.39628,0.9446,0.93762,0.85794,0.95086,0.91835,0.21514,0.33946,0.83094,0.00102725,0.00102725,0.00102725
20,1518.22,0.37671,0.37801,0.93838,0.94557,0.88986,0.93077,0.89835,0.23085,0.33256,0.84157,0.00101488,0.00101488,0.00101488
21,1593.6,0.39165,0.42426,0.94709,0.70754,0.72597,0.79012,0.75327,0.24915,1.20172,0.85044,0.0010025,0.0010025,0.0010025
22,1668.95,0.35776,0.37587,0.93099,0.91861,0.87308,0.92752,0.89265,0.23976,0.38196,0.83834,0.000990125,0.000990125,0.000990125
23,1742.98,0.35455,0.36891,0.93257,0.95771,0.89582,0.95546,0.92426,0.20171,0.27283,0.83043,0.00097775,0.00097775,0.00097775
24,1816.73,0.37056,0.37083,0.93372,0.9892,0.86951,0.97796,0.94737,0.19344,0.27391,0.81854,0.000965375,0.000965375,0.000965375
25,1890.37,0.34755,0.34448,0.93368,0.92435,0.91156,0.96567,0.94025,0.18347,0.30858,0.81304,0.000953,0.000953,0.000953
26,1964.03,0.35465,0.35019,0.93245,0.97919,0.87348,0.95043,0.91024,0.21857,0.29821,0.83384,0.000940625,0.000940625,0.000940625
27,2037.56,0.33934,0.34388,0.91585,0.96029,0.86228,0.95778,0.92004,0.19382,0.33794,0.81837,0.00092825,0.00092825,0.00092825
28,2111.18,0.35294,0.35002,0.92516,0.90226,0.95189,0.96639,0.93386,0.20418,0.2908,0.81462,0.000915875,0.000915875,0.000915875
29,2184.58,0.34203,0.34036,0.91985,0.88954,0.86805,0.93205,0.88754,0.20585,0.36189,0.82097,0.0009035,0.0009035,0.0009035
30,2258.4,0.31875,0.32453,0.91048,0.95276,0.89488,0.97136,0.93564,0.1909,0.24335,0.81447,0.000891125,0.000891125,0.000891125
31,2331.74,0.32741,0.33014,0.91537,0.97338,0.88493,0.96937,0.94478,0.18733,0.25278,0.81588,0.00087875,0.00087875,0.00087875
32,2405.24,0.32583,0.31465,0.91097,0.92849,0.85876,0.95455,0.92156,0.19625,0.33659,0.81624,0.000866375,0.000866375,0.000866375
33,2478.61,0.3269,0.32484,0.91784,0.90036,0.9337,0.96973,0.93253,0.18086,0.24727,0.81123,0.000854,0.000854,0.000854
34,2551.59,0.33032,0.31683,0.91977,0.96882,0.89845,0.98167,0.95321,0.17931,0.24513,0.80665,0.000841625,0.000841625,0.000841625
35,2621.73,0.31426,0.31475,0.9124,0.93711,0.91007,0.9731,0.94823,0.16832,0.25561,0.8044,0.00082925,0.00082925,0.00082925
36,2686.48,0.32622,0.31761,0.91096,0.9547,0.8666,0.94765,0.91682,0.18731,0.32414,0.81295,0.000816875,0.000816875,0.000816875
37,2751.53,0.31018,0.30302,0.90057,0.97775,0.88971,0.94091,0.91436,0.1973,0.31032,0.82584,0.0008045,0.0008045,0.0008045
38,2825.83,0.30932,0.30734,0.90601,0.98468,0.8708,0.95817,0.93169,0.17994,0.25801,0.80803,0.000792125,0.000792125,0.000792125
39,2899.21,0.31057,0.30609,0.90732,0.97148,0.93749,0.96514,0.94492,0.18119,0.2348,0.81595,0.00077975,0.00077975,0.00077975
40,2972.5,0.31755,0.29556,0.91494,0.9872,0.88118,0.97033,0.94236,0.19169,0.25186,0.81156,0.000767375,0.000767375,0.000767375
41,3045.82,0.29917,0.28541,0.90534,0.94142,0.89662,0.93397,0.90222,0.18828,0.29202,0.81487,0.000755,0.000755,0.000755
